file,Heuristique,solved,executionTime
uf20-010,1,true,1.5075912
uf20-010,2,true,1.9991628
uf20-010,3,true,1.0307447
uf20-010,4,true,1.912902
uf20-010,5,true,2.3651103
uf20-01,1,true,1.8541966
uf20-01,2,true,0.0370403
uf20-01,3,true,1.6946981
uf20-01,4,true,0.0380798
uf20-01,5,true,0.0456656
uf20-08,1,true,0.1488847
uf20-08,2,true,0.3990779
uf20-08,3,true,0.1421716
uf20-08,4,true,0.4544268
uf20-08,5,true,0.5680567
uf20-09,1,true,1.3310906
uf20-09,2,true,1.3090042
uf20-09,3,true,1.1488472
uf20-09,4,true,1.2419184
uf20-09,5,true,1.4992037
uf20-06,1,true,6.8567089
uf20-06,2,true,7.5101208
uf20-06,3,true,6.5519015
uf20-06,4,true,7.3255574
uf20-06,5,true,9.146516
uf20-07,1,true,0.003288
uf20-07,2,true,0.020121
uf20-07,3,true,0.0043745
uf20-07,4,true,0.0184289
uf20-07,5,true,0.0233027
uf20-04,1,true,9.5018181
uf20-04,2,true,9.6326734
uf20-04,3,true,9.2797044
uf20-04,4,true,9.6574896
uf20-04,5,true,12.5722936
uf20-05,1,true,0.5036341
uf20-05,2,true,1.8759656
uf20-05,3,true,0.4609251
uf20-05,4,true,1.8410605
uf20-05,5,true,2.2550662
uf20-02,1,true,3.755E-4
uf20-02,2,true,0.0014253
uf20-02,3,true,3.497E-4
uf20-02,4,true,0.0013199
uf20-02,5,true,0.0016521
uf20-03,1,true,4.9366483
uf20-03,2,true,6.8797922
uf20-03,3,true,4.5376962
uf20-03,4,true,6.6427979
uf20-03,5,true,8.236135
